station,country,location,system_type,latitude,longitude,longitude_180,build_date,giro_link,metadata_source
,Iceland,Keflavik,D128,42.4,288.5,-71.5,1970,,LDI station list
AA343,Kazakhstan,Almaty,DPS4D,43.18,76.95,76.95,2024-06,,LDI station list
AH223,India,Ahmedabad,DPS4D,23.0,72.5,72.5,2010-04,https://giro.uml.edu/ionoweb/?station=AH223,LDI station list
AL945,USA,"Alpena, MI",NEXION,45.07,276.44,-83.56,2012-05,https://giro.uml.edu/ionoweb/?station=AL945,LDI station list
AN438,Korea,Anyang,D256,37.39,126.95,126.95,1992,https://giro.uml.edu/ionoweb/?station=AN438,LDI station list
AS00Q,UK,Ascension Island,DISS,-8.0,346.0,-14.0,1992,,LDI station list
AT138,Greece,Athens,D128P,38.0,23.5,23.5,1975,,LDI station list
AU930,USA,"Austin, TX",DISS,30.4,262.3,-97.69999999999999,1989,https://giro.uml.edu/ionoweb/?station=AU930,LDI station list
AW426,Japan,Awase,NEXION,26.32,127.84,127.84,2022-07,https://giro.uml.edu/ionoweb/?station=AW426,LDI station list
BC840,USA,"Boulder, Co",DISS,40.0,254.7,-105.30000000000001,1989,https://giro.uml.edu/ionoweb/?station=BC840,LDI station list
BE145,Serbia,Belgrade,DPS4D,44.63,20.75,20.75,2008-10,,LDI station list
BLJ03,Brazil,Belem,DPS4D,1.43,311.56,-48.44,2012-06,https://giro.uml.edu/ionoweb/?station=BLJ03,LDI station list
BP440,China,Beijing,D256,40.3,116.2,116.2,1988,https://giro.uml.edu/ionoweb/?station=BP440,LDI station list
BR52P,Australia,Brisbane,,-27.53,152.92,152.92,,https://giro.uml.edu/ionoweb/?station=BR52P,manual: SWS/ASWFC catalogue
BV53Q,Australia,Bundoora,DPS4,-37.72,145.05,145.05,2000,https://giro.uml.edu/ionoweb/?station=BV53Q,LDI station list
BVJ03,Brazil,Boa Vista,DPS4D,2.8,299.3,-60.69999999999999,2011-11,https://giro.uml.edu/ionoweb/?station=BVJ03,LDI station list
CAJ2M,Brazil,Cachoeira Paulista,DPS4D,-22.7,315.0,-45.0,2012-06,https://giro.uml.edu/ionoweb/?station=CAJ2M,LDI station list
CB53N,Australia,Canberra,,-35.32,149.0,149.0,,https://giro.uml.edu/ionoweb/?station=CB53N,manual: SWS/ASWFC catalogue
