station,rows,filtered_columns,changed_points_total,changed_points_share,latitude,latitude_zone
AL945,68656,8,296551,0.5399218567932883,45.07,N_mid
AS00Q,68759,8,294545,0.5354662662342384,-8.0,Low
AT138,70176,8,312298,0.5562763622891017,38.0,N_mid
AU930,12569,8,64149,0.6379684143527727,30.4,N_mid
BC840,10242,8,42014,0.5127660613161492,40.0,N_mid
BR52P,70176,8,225351,0.4014032575239398,-27.53,Low
CAJ2M,70176,8,334314,0.5954920485636115,-22.7,Low
CB53N,70176,8,227043,0.4044171084131327,-35.32,S_mid
CGK21,2165,8,11169,0.6448614318706698,-20.5,Low
CS31K,69502,8,224964,0.4045998676297085,-12.18,Low
DB049,70176,8,369791,0.6586849492704059,50.1,N_mid
DW41K,70176,8,224254,0.39944924190606473,-12.45,Low
EA036,35136,8,181999,0.6474805043260473,37.1,N_mid
EA653,56660,8,239966,0.5293990469466996,52.73,N_mid
EB040,70176,8,377217,0.6719124059507524,40.8,N_mid
EG931,68759,8,272036,0.49454616850157795,30.5,N_mid
FF051,59653,8,264207,0.5536330947311954,51.7,N_mid
GM037,70176,8,213600,0.3804719562243502,37.9,N_mid
GR13L,70173,8,230031,0.4097569578042837,-33.3,S_mid
HO54K,70089,8,200010,0.3567071865770663,-42.92,S_mid
IC437,35136,8,167590,0.5962189776867031,37.14,N_mid
JB57N,22542,8,68209,0.3782328542276639,-74.62,S_mid
JJ433,70176,8,347445,0.6188814551983585,33.43,N_mid
JR055,70176,8,364583,0.6494082734838121,54.6,N_mid
LL721,68758,8,334800,0.6086564472497745,21.43,Low
LM42B,55082,8,195194,0.4429623107367198,-21.8,Low
MHJ45,70176,8,305610,0.5443634575923393,42.6,N_mid
ND61R,70176,8,235850,0.4201044516643867,-19.07,Low
NI135,70176,8,277678,0.49460998062015504,35.03,N_mid
NI63,70176,8,240163,0.4277869214546284,-29.03,Low
PA836,69430,8,264182,0.4756265303183062,34.7,N_mid
PE43K,70176,8,238755,0.42527894151846785,-31.94,S_mid
PQ052,70051,8,360492,0.6432670482933862,50.0,N_mid
SO148,70176,8,343681,0.6121768838349293,47.63,N_mid
THJ76,68758,8,292101,0.5310309345821577,76.54,N_high
TR169,70172,8,275578,0.49089736647095705,69.9,N_high
TR170,22533,8,42686,0.23679714196955576,69.6,N_high
TV51R,70176,8,240416,0.4282375740994072,-19.63,Low
VT139,68758,8,326796,0.5941054131882836,40.6,N_mid
WA619,35136,8,175285,0.6235947461293261,19.29,Low
WP937,9808,8,51104,0.651305057096248,37.9,N_mid
