latitude_zone,parameter,changed_points,changed_points_share_mean,changed_points_share_median
Low,MUF_D,490399,0.6988116776252847,0.6686545257637939
Low,TEC,197181,0.33360933909538787,0.2595947859554846
Low,fmin,462526,0.6366711275891307,0.6818281268992342
Low,foE,188857,0.2693354163891498,0.29145074528031445
Low,foF1,89495,0.11917739464980838,0.12724102000486537
Low,foF2,561159,0.7803821963914904,0.8045267566725925
Low,foF2p,251220,0.4248788816972717,0.32950873243527834
Low,hmF2,495468,0.6922103432707933,0.711062186502508
N_high,MUF_D,83204,0.3996142990898348,0.5473550703984496
N_high,TEC,91436,0.5643086284180463,0.5555851417920383
N_high,fmin,67035,0.32148362519974366,0.4543471305157218
N_high,foE,42685,0.29446540550682876,0.26633130023371143
N_high,foF1,30927,0.1485368555478428,0.203471470102035
N_high,foF2,93439,0.5566467242142613,0.5494071709513766
N_high,foF2p,111456,0.534610417528307,0.7694813694406469
N_high,hmF2,90183,0.5369352258889235,0.5099897394972354
N_mid,MUF_D,870045,0.7325033908508193,0.7625113999088007
N_mid,TEC,765071,0.6449864365159022,0.6723951208390333
N_mid,fmin,635844,0.5415067557451362,0.60471044045677
N_mid,foE,378971,0.3200155327753989,0.32248168574924985
N_mid,foF1,141676,0.12741093412042875,0.13056201910036974
N_mid,foF2,864397,0.724190235959753,0.74546853625171
N_mid,foF2p,997840,0.8405925104813822,0.8657217668488161
N_mid,hmF2,789145,0.6642318789854125,0.6878562471500228
S_mid,MUF_D,157290,0.44840113094386586,0.5246177304661337
S_mid,TEC,48377,0.22813437489470728,0.0
S_mid,fmin,193378,0.643672984521612,0.6834453337898957
S_mid,foE,82869,0.2850639046455554,0.2986206110351117
S_mid,foF1,41712,0.11891740925880456,0.15535961420479677
S_mid,foF2,219022,0.7145749578804461,0.7431123286107663
S_mid,foF2p,40553,0.11558006640730764,0.0
S_mid,hmF2,180847,0.6046840491126843,0.6455340857273142
