station,latitude,latitude_zone
AL945,45.07,N_mid
AS00Q,-8.0,Low
AT138,38.0,N_mid
AU930,30.4,N_mid
BR52P,-27.53,Low
CAJ2M,-22.7,Low
CB53N,-35.32,S_mid
CGK21,-20.5,Low
CS31K,-12.18,Low
DB049,50.1,N_mid
DW41K,-12.45,Low
EA653,52.73,N_mid
EB040,40.8,N_mid
EG931,30.5,N_mid
FF051,51.7,N_mid
GM037,37.9,N_mid
GR13L,-33.3,S_mid
HO54K,-42.92,S_mid
IC437,37.14,N_mid
JJ433,33.43,N_mid
JR055,54.6,N_mid
LL721,21.43,Low
LM42B,-21.8,Low
MHJ45,42.6,N_mid
ND61R,-19.07,Low
NI135,35.03,N_mid
NI63,-29.03,Low
PA836,34.7,N_mid
PE43K,-31.94,S_mid
PQ052,50.0,N_mid
SO148,47.63,N_mid
THJ76,76.54,N_high
TR169,69.9,N_high
VT139,40.6,N_mid
WA619,19.29,Low
