station,latitude_zone,model,mae,rmse,r2,corr,mape
AL945,N_mid,CatBoost,0.9388576728085443,1.1251636592030223,0.4380275193721419,0.8953544100234799,17.450294236898873
AL945,N_mid,ElasticNet,1.5870923290321517,1.973626542270675,-6.372448585363217,0.8159586937605054,29.409571654845635
AL945,N_mid,LinearRegression,5.666857605167038,7.218257184625211,-97.20002977026189,0.6933151837520163,107.04439616064677
AL945,N_mid,RandomForest,0.9368635082201501,1.134028169026288,0.3933534930367073,0.8910186211176484,16.798178014597177
AL945,N_mid,XGBoost,0.9348646820373823,1.131635260326719,0.3368206332207837,0.887905821331338,16.824115891349898
AS00Q,Low,CatBoost,1.3183853667028798,1.6966739585867137,0.1729027306225449,0.8358650330130831,16.453325670266466
AS00Q,Low,ElasticNet,2.008690250438787,2.61080328804262,-2.560150524788184,0.7154757553468168,25.53952018342856
AS00Q,Low,LinearRegression,8.959709331301683,10.982096006084571,-133.56650686056165,0.6055296823718512,108.7819219368807
AS00Q,Low,RandomForest,1.2894417704813967,1.6873032012817966,0.4749435234498445,0.8258035874893472,15.780046685571127
AS00Q,Low,XGBoost,1.3129297260822812,1.7155072001513432,0.40920396339015025,0.8225023920254856,15.730703155717682
AT138,N_mid,CatBoost,0.7495301730455102,0.926257882740344,0.6167592579052613,0.8839448356429194,11.940683653478041
AT138,N_mid,ElasticNet,0.8361228387972831,1.0267216319387222,0.3650020423832953,0.8523994583112466,13.440973138156398
AT138,N_mid,LinearRegression,4.0437214054391495,5.417400767532527,-373.0544276186078,0.722028926739422,67.40329386392762
AT138,N_mid,RandomForest,0.7224611939105089,0.9093978600867161,0.6152048470440438,0.8842829512675224,11.382952141345973
AT138,N_mid,XGBoost,0.7464541250452089,0.9373752600386722,0.5919902212808443,0.8755406996102351,11.77129429422895
AU930,N_mid,CatBoost,0.8163988151086109,0.9845046378031098,0.36431252495972855,0.9560697843685699,12.466980646963904
AU930,N_mid,ElasticNet,0.9778632257726957,1.1622397896474854,-0.11304716502742701,0.9450325072824047,15.013209109467715
AU930,N_mid,LinearRegression,6.76866326870228,9.013736561700822,-183.43777432270906,0.7784858138189952,106.2671121316651
AU930,N_mid,RandomForest,0.7792129522916973,0.9540830281043015,0.21181199533596903,0.9474628553305018,11.714440561582876
AU930,N_mid,XGBoost,0.7831332603226872,0.9586767247577953,0.3047030983771602,0.9468833270791498,11.778728024690244
BR52P,Low,CatBoost,0.8467910377345489,1.0283510743258504,0.38058862190928183,0.8443932968566459,11.216751799587147
BR52P,Low,ElasticNet,1.249604231950946,1.4953352464082847,-0.7801666367646062,0.7472791090475509,16.487200983094212
BR52P,Low,LinearRegression,3.9096534702407544,5.084236655587209,-51.69984729165451,0.6463817188520264,52.230823805458705
BR52P,Low,RandomForest,0.870101351205758,1.0631097370978224,0.2817450980338235,0.825188050030511,11.380302315545853
BR52P,Low,XGBoost,0.8704430372817464,1.0616579483551871,0.2984032650842295,0.8256711361714266,11.400673902032631
CAJ2M,Low,CatBoost,0.9915522260563393,1.262743687231307,0.7438196626083557,0.9052690041553859,15.46027386661072
CAJ2M,Low,ElasticNet,1.1904576110492042,1.4969445692243848,0.5488534161882078,0.8827375700490205,18.37317754245473
CAJ2M,Low,LinearRegression,4.734346191830893,6.195472923654276,-40.82552418114279,0.729925091255485,71.62117967033372
CAJ2M,Low,RandomForest,0.9746912656778093,1.2511705865256815,0.7358487793445957,0.8997543803091096,14.802368925566203
CAJ2M,Low,XGBoost,1.003484179031089,1.2849071501025895,0.7264405478672574,0.8957386356738336,15.168167199221319
CB53N,S_mid,CatBoost,0.8125941071546221,0.9842940313644787,0.33374010686102995,0.872343737248331,12.796168714622864
CB53N,S_mid,ElasticNet,1.1596777443445583,1.3733194693214743,-0.6632376912746032,0.7856856882174968,18.346357540634212
CB53N,S_mid,LinearRegression,3.2935689711570704,4.225001401715129,-29.104539155225208,0.6776147072844543,52.079341845461975
CB53N,S_mid,RandomForest,0.8179652263194346,0.9960591854280589,0.28643936119180147,0.8587589334277235,12.685861910235614
CB53N,S_mid,XGBoost,0.825432822127318,1.0041390563912895,0.2725715501941432,0.8549638984076259,12.809832345438192
CGK21,Low,CatBoost,1.2688308178351937,1.7330291467588708,0.49299379804570825,0.777630068252561,12.97393692587131
CGK21,Low,ElasticNet,2.071259414694926,2.4976060782224123,-0.5640165049483361,0.7321497080161742,20.75353205102827
CGK21,Low,LinearRegression,18.545974361506847,22.132636958404238,-206.21060615215927,0.34445688769696664,172.01058144454746
CGK21,Low,RandomForest,1.234887236279868,1.6896099978323476,0.4931896340816562,0.7905398195141652,12.361967683478582
CGK21,Low,XGBoost,1.3736522329913885,1.8283248109172496,0.4044410913867739,0.7663232715981939,13.543175859991681
CS31K,Low,CatBoost,1.5348278264143915,1.880948926529928,-0.01609803967000466,0.908922807106951,18.89035978524776
CS31K,Low,ElasticNet,2.628111903803563,3.2533711097255753,-2.1482136128224303,0.8192583499357169,31.31477269087121
CS31K,Low,LinearRegression,8.938629491722795,11.620301895383827,-216.09628289081266,0.7054154862788179,107.89938498539244
CS31K,Low,RandomForest,1.549105959327884,1.9346785698323934,-0.2121098589476559,0.8815258693313509,17.822998904723864
CS31K,Low,XGBoost,1.560529532605954,1.9378986150489117,-0.049358647763728385,0.8874253146611882,18.11192902051536
DB049,N_mid,CatBoost,0.7801433465679428,0.950670381342269,0.45983881139451355,0.9031672494651345,13.537288243152064
DB049,N_mid,ElasticNet,0.9892545140789254,1.175071459474388,0.06021262746222184,0.8544739474629044,17.2586489234063
DB049,N_mid,LinearRegression,3.648742276422886,4.7593905251371575,-134.53085265497802,0.7216226433572098,65.50485725989489
DB049,N_mid,RandomForest,0.7851420228946959,0.964127026875701,0.4086741080130753,0.8916389256807332,13.383951948739963
DB049,N_mid,XGBoost,0.7947040891318259,0.9758470283809779,0.3650086868647918,0.8882633680935088,13.632896867459355
