station,final_metrics,partial_metrics,files
AL945,True,True,14
AS00Q,True,True,14
AT138,True,True,14
AU930,True,True,14
BC840,False,False,7
BR52P,True,True,14
CAJ2M,True,True,14
CB53N,True,True,14
CGK21,True,True,14
CS31K,True,True,14
DB049,True,True,14
DW41K,True,True,14
EA036,False,False,7
EA653,True,True,14
EB040,True,True,14
EG931,True,True,14
FF051,True,True,14
GM037,True,True,14
GR13L,True,True,14
HO54K,True,True,14
IC437,True,True,14
JB57N,False,False,7
JJ433,True,True,14
JR055,True,True,14
LL721,True,True,14
LM42B,True,True,14
MHJ45,True,True,14
ND61R,True,True,14
NI135,True,True,14
NI63,True,True,14
PA836,True,True,14
PE43K,True,True,14
PQ052,True,True,14
SO148,True,True,14
THJ76,True,True,14
TR169,True,True,14
TR170,False,False,7
TV51R,False,True,4
VT139,True,True,14
WA619,True,True,14
WP937,False,False,7
